"Cell Type","ids","object_id","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
9,50643,0,0.98236,0.010612,0.010612,-0.0042526
9,50644,0,0.98238,0.0105,0.0105,-0.0043323
9,50645,0,0.9824,0.010387,0.010387,-0.0044126
9,50646,0,0.98242,0.010271,0.010271,-0.0044935
9,50647,0,0.98244,0.010153,0.010153,-0.0045751
9,50648,0,0.98246,0.010032,0.010032,-0.0046574
9,50649,0,0.98249,0.0099084,0.0099084,-0.0047405
9,50650,0,0.98251,0.0097826,0.0097826,-0.0048244
9,50651,0,0.98254,0.0096545,0.0096545,-0.0049091
9,50652,0,0.98256,0.0095238,0.0095238,-0.0049948
9,50653,0,0.98259,0.0093908,0.0093908,-0.0050814
9,50654,0,0.98262,0.0092553,0.0092553,-0.0051689
9,50655,0,0.98265,0.0091173,0.0091173,-0.0052574
9,50656,0,0.98267,0.0089768,0.0089768,-0.005347
9,50657,0,0.9827,0.0088339,0.0088339,-0.0054375
9,50658,0,0.98274,0.0086885,0.0086885,-0.0055291
9,50659,0,0.98277,0.0085405,0.0085405,-0.0056217
9,50660,0,0.9828,0.0083901,0.0083901,-0.0057154
9,50661,0,0.98283,0.008237,0.008237,-0.0058101
9,50662,0,0.98287,0.0080814,0.0080814,-0.0059059
9,50663,0,0.9829,0.0079232,0.0079232,-0.0060027
9,50664,0,0.98293,0.0077624,0.0077624,-0.0061005
9,50665,0,0.98297,0.0075989,0.0075989,-0.0061992
9,50666,0,0.98301,0.0074327,0.0074327,-0.0062989
9,50667,0,0.98304,0.0072638,0.0072638,-0.0063995
9,50668,0,0.98308,0.0070921,0.0070921,-0.006501
9,50669,0,0.98312,0.0069176,0.0069176,-0.0066032
9,50670,0,0.98316,0.0067403,0.0067403,-0.0067062
9,50671,0,0.9832,0.00656,0.00656,-0.0068098
9,50672,0,0.98323,0.0063767,0.0063767,-0.006914
9,50673,0,0.98327,0.0061904,0.0061904,-0.0070187
9,50674,0,0.98331,0.0060011,0.0060011,-0.0071237
9,50675,0,0.98335,0.0058085,0.0058085,-0.0072289
9,50676,0,0.9834,0.0056127,0.0056127,-0.0073343
9,50677,0,0.98344,0.0054135,0.0054135,-0.0074396
9,50678,0,0.98348,0.0052109,0.0052109,-0.0075448
9,50679,0,0.98352,0.0050047,0.0050047,-0.0076497
9,50680,0,0.98356,0.0047949,0.0047949,-0.007754
9,50681,0,0.9836,0.0045813,0.0045813,-0.0078576
9,50682,0,0.98364,0.0043638,0.0043638,-0.0079603
