"Points:0","Points:1","Points:2","disp:0","disp:1","ids"
0.12336,0.004987,0,0.0058282,0.002995,120
0.12546,0.0030441,0,0.0059335,0.0030441,121
0.12543,0.005008,0,0.0059128,0.003016,122
0.12753,0.0030646,0,0.0060176,0.0030646,123
0.12751,0.0050286,0,0.0059973,0.0030365,124
0.12961,0.0030847,0,0.0061017,0.0030847,125
0.12959,0.0050487,0,0.0060818,0.0030566,126
0.13168,0.0031044,0,0.0061857,0.0031044,127
0.13166,0.0050683,0,0.0061663,0.0030763,128
0.13376,0.0031236,0,0.0062698,0.0031236,129
0.13374,0.0050875,0,0.0062508,0.0030955,130
0.13584,0.0031424,0,0.0063538,0.0031424,131
0.13582,0.0051063,0,0.0063352,0.0031143,132
0.13791,0.0031608,0,0.0064379,0.0031608,133
0.13789,0.0051247,0,0.0064197,0.0031327,134
0.13999,0.0031788,0,0.0065219,0.0031788,135
0.13997,0.0051427,0,0.0065041,0.0031507,136
0.14206,0.0031964,0,0.006606,0.0031964,137
0.14205,0.0051603,0,0.0065886,0.0031683,138
0.14414,0.0032136,0,0.0066901,0.0032136,139
0.14412,0.0051775,0,0.0066731,0.0031855,140
0.14622,0.0032304,0,0.0067742,0.0032304,141
0.1462,0.0051944,0,0.0067575,0.0032023,142
0.14829,0.0032469,0,0.0068583,0.0032469,143
0.14828,0.0052108,0,0.006842,0.0032188,144
0.15037,0.003263,0,0.0069424,0.003263,145
0.15035,0.0052269,0,0.0069265,0.0032349,146
0.15244,0.0032788,0,0.0070266,0.0032788,147
0.15243,0.0052427,0,0.007011,0.0032506,148
0.15452,0.0032942,0,0.0071108,0.0032942,149
0.15451,0.0052581,0,0.0070955,0.003266,150
0.1566,0.0033092,0,0.007195,0.0033092,151
0.15658,0.0052731,0,0.0071801,0.0032811,152
0.15867,0.003324,0,0.0072793,0.003324,153
0.15866,0.0052879,0,0.0072646,0.0032958,154
0.16075,0.0033384,0,0.0073635,0.0033384,155
0.16074,0.0053022,0,0.0073492,0.0033102,156
0.16283,0.0033525,0,0.0074479,0.0033525,157
0.16281,0.0053163,0,0.0074339,0.0033243,158
0.1649,0.0033662,0,0.0075322,0.0033662,159
0.16489,0.0053301,0,0.0075185,0.0033381,160
0.16698,0.0033797,0,0.0076166,0.0033797,161
0.16697,0.0053435,0,0.0076032,0.0033515,162
0.16906,0.0033929,0,0.007701,0.0033929,163
0.16904,0.0053567,0,0.007688,0.0033647,164
0.17113,0.0034057,0,0.0077855,0.0034057,165
0.17112,0.0053696,0,0.0077727,0.0033775,166
0.17321,0.0034183,0,0.00787,0.0034183,167
0.1732,0.0053821,0,0.0078575,0.0033901,168
0.17529,0.0034306,0,0.0079546,0.0034306,169
0.17527,0.0053944,0,0.0079424,0.0034024,170
0.17736,0.0034427,0,0.0080392,0.0034427,171
0.17735,0.0054064,0,0.0080273,0.0034144,172
0.17944,0.0034544,0,0.0081239,0.0034544,173
0.17943,0.0054182,0,0.0081122,0.0034261,174
0.18152,0.0034659,0,0.0082086,0.0034659,175
0.1815,0.0054297,0,0.0081972,0.0034376,176
0.18359,0.0034771,0,0.0082934,0.0034771,177
0.18358,0.0054409,0,0.0082822,0.0034488,178
0.18567,0.0034881,0,0.0083782,0.0034881,179
0.18566,0.0054518,0,0.0083673,0.0034598,180
0.18775,0.0034988,0,0.0084631,0.0034988,181
0.18774,0.0054625,0,0.0084524,0.0034705,182
0.18982,0.0035093,0,0.008548,0.0035093,183
0.18981,0.005473,0,0.0085376,0.003481,184
0.1919,0.0035196,0,0.008633,0.0035196,185
0.19189,0.0054832,0,0.0086228,0.0034912,186
0.19398,0.0035296,0,0.0087181,0.0035296,187
0.19397,0.0054932,0,0.0087081,0.0035012,188
0.19605,0.0035393,0,0.0088032,0.0035393,189
0.19604,0.005503,0,0.0087934,0.0035109,190
0.19813,0.0035489,0,0.0088883,0.0035489,191
0.19812,0.0055125,0,0.0088788,0.0035205,192
0.20021,0.0035582,0,0.0089736,0.0035582,193
0.2002,0.0055218,0,0.0089643,0.0035298,194
0.20229,0.0035673,0,0.0090588,0.0035673,195
0.20228,0.0055309,0,0.0090498,0.0035389,196
0.20436,0.0035762,0,0.0091442,0.0035762,197
0.20435,0.0055398,0,0.0091353,0.0035477,198
0.20644,0.0035849,0,0.0092296,0.0035849,199
0.20643,0.0055484,0,0.0092209,0.0035564,200
0.20852,0.0035934,0,0.0093151,0.0035934,201
0.20851,0.0055569,0,0.0093066,0.0035649,202
0.2106,0.0036017,0,0.0094006,0.0036017,203
0.21059,0.0055652,0,0.0093924,0.0035731,204
0.21267,0.0036098,0,0.0094862,0.0036098,205
0.21267,0.0055732,0,0.0094781,0.0035812,206
0.21475,0.0036177,0,0.0095719,0.0036177,207
0.21474,0.0055811,0,0.009564,0.0035891,208
0.21683,0.0036254,0,0.0096576,0.0036254,209
0.21682,0.0055888,0,0.0096499,0.0035968,210
0.21891,0.0036329,0,0.0097434,0.0036329,211
0.2189,0.0055963,0,0.0097359,0.0036043,212
0.22098,0.0036403,0,0.0098293,0.0036403,213
0.22098,0.0056037,0,0.0098219,0.0036116,214
0.22306,0.0036475,0,0.0099152,0.0036475,215
