"disp:0","disp:1","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
0.025906,0,0.17351,-0.25,0,0.97619,-0.0010761,-0.0010761,0.14821
0.025798,-3.0547e-05,0.1711,-0.24633,0,0.97545,-0.0022073,-0.0022073,0.14675
0.026128,0,0.17848,-0.25,0,0.97924,-0.0010095,-0.0010095,0.15425
0.026017,-2.957e-05,0.176,-0.24635,0,0.97852,-0.0020753,-0.0020753,0.15269
0.026359,0,0.18366,-0.25,0,0.98213,-0.00094133,-0.00094133,0.16061
0.026244,-2.8514e-05,0.18111,-0.24637,0,0.98143,-0.0019419,-0.0019419,0.15894
0.026583,0,0.18869,-0.25,0,0.98482,-0.00087295,-0.00087295,0.16722
0.026466,-2.7434e-05,0.18607,-0.24639,0,0.98415,-0.0018084,-0.0018084,0.16544
0.026807,0,0.1937,-0.25,0,0.9873,-0.00080538,-0.00080538,0.17406
0.026686,-2.6309e-05,0.19102,-0.24641,0,0.98666,-0.0016759,-0.0016759,0.17215
0.027028,0,0.19867,-0.25,0,0.9896,-0.00073701,-0.00073701,0.18119
0.026905,-2.5142e-05,0.19592,-0.24643,0,0.98899,-0.0015426,-0.0015426,0.17915
0.027253,0,0.2037,-0.25,0,0.99172,-0.00066736,-0.00066736,0.1887
0.027127,-2.391e-05,0.20089,-0.24644,0,0.99114,-0.0014071,-0.0014071,0.18653
0.027479,0,0.20878,-0.25,0,0.99365,-0.00059651,-0.00059651,0.19658
0.027351,-2.2612e-05,0.2059,-0.24646,0,0.99312,-0.0012694,-0.0012694,0.19425
0.027701,0,0.21375,-0.25,0,0.9954,-0.00052448,-0.00052448,0.20489
0.027569,-2.1281e-05,0.21081,-0.24648,0,0.9949,-0.00113,-0.00113,0.2024
0.027935,0,0.21902,-0.25,0,0.99697,-0.0004523,-0.0004523,0.21375
